Date,Open,High,Low,Close,Volume,Market_Cap,Tomorrow,Target
2023-06-01,27218.41237556436,27346.105483136533,26671.72115584082,26819.97321970769,14678970414.58,520044966564.46,27249.58894908836,1
2023-05-31,27700.530088711763,27831.67780370857,26866.45394440047,27219.658608110934,15656371534.37,527773175252.01,26819.97321970769,0
2023-05-30,27745.123603261192,28044.75979798264,27588.502765755577,27702.348774779613,13251081851.39,537106462875.19,27219.658608110934,0
2023-05-29,28075.592141166908,28432.038716970947,27563.877211181796,27745.884443552008,15181308983.6,537924888418.9,27702.348774779613,0
2023-05-28,26871.158775260013,28193.44853283095,26802.751730160704,28085.64736074923,14545229578.02,544483610242.01,27745.884443552008,0
2023-05-27,26720.18251355914,26888.88337077603,26621.14140510269,26868.35381843118,7892015141.24,520858138785.14,28085.64736074923,1
2023-05-26,26474.182469275427,26916.66991285404,26343.949157498468,26719.29098461734,12711619225.45,517943916949.93,26868.35381843118,1
2023-05-25,26329.461512587262,26591.5191830944,25890.594475345944,26476.20753197305,13851122696.86,513207340509.25,26719.29098461734,1
2023-05-24,27224.60370246231,27224.60370246231,26106.576623117977,26334.81821443653,16299104428.23,510440697384.33,26476.20753197305,1
2023-05-23,26855.96068204017,27434.684328204352,26816.17971812093,27225.726590634808,13697203142.64,527685629563.87,26334.81821443653,0
2023-05-22,26749.893205403107,27045.73508578749,26549.734792438765,26851.277627891304,11056770492.11,520401926578.4,27225.726590634808,1
2023-05-21,27118.42322828029,27265.917991795977,26706.921353513324,26753.82563905467,8647416920.95,518489461930.79,26851.277627891304,1
2023-05-20,26888.84139105379,27155.159026372767,26843.27738086228,27129.58625503124,7044911360.48,525746096848.12,26753.82563905467,0
2023-05-19,26826.754786389298,27128.618843259585,26700.21014229994,26890.12824240825,11258983300.89,521083278041.79,27129.58625503124,1
2023-05-18,27401.650207988976,27466.52759018473,26415.10148304567,26832.20930048602,15222938600.41,519935930271.57,26890.12824240825,1
2023-05-17,27035.470129713845,27465.927904294607,26600.14484430804,27398.802027965245,15140006925.18,530890147614.67,26832.20930048602,0
2023-05-16,27171.514579396782,27299.30481164118,26878.9479718172,27036.65070994403,12732238815.9,523846408825.17,27398.802027965245,1
2023-05-15,26931.384631905392,27646.34811866989,26766.09691604433,27192.69322116492,14413231792.03,526844318152.29,27036.65070994403,0
2023-05-14,26788.974291770766,27150.976791699217,26661.3549036476,26930.63784556426,10014858959.48,521742220416.76,27192.69322116492,1
2023-05-13,26807.769044398643,27030.482960302437,26710.873803047674,26784.078560882408,9999171605.08,518873704830.19,26930.63784556426,1
2023-05-12,26987.662513638646,27055.64722812817,25878.428829536035,26804.99067068782,19313599897.31,519254029391.83,26784.078560882408,0
2023-05-11,27621.08687181673,27621.941986176356,26781.82700214609,27000.788270733763,16724343943.18,523022981321.22,26804.99067068782,0
2023-05-10,27654.63677657879,28322.688327886328,26883.669882565664,27621.756227331287,20656025025.55,535026153601.52,27000.788270733763,0
2023-05-09,27695.068069254918,27821.400606356445,27375.600690258794,27658.77467251895,14128593255.78,535713623918.83,27621.756227331287,0
2023-05-08,28450.457477963737,28663.272331845223,27310.13561237365,27694.27289627312,19122903752.39,536375393861.25,27658.77467251895,0
2023-05-07,28901.62282413254,29157.51818533471,28441.368038323788,28454.978285513487,11301355486.45,551083296208.8,27694.27289627312,0
2023-05-06,29538.85900462101,29820.12662207653,28468.967409856246,28904.623949070778,15913866714.47,559767467680.94,28454.978285513487,0
